temple_name,city,year,month,day_of_month,time_slot,is_holiday,is_festival,weather,headcount
Vaishno Devi,Katra,2010,10,1,0,0,1,Fog,4496
Vaishno Devi,Katra,2010,10,1,1,0,1,Clear,6440
Vaishno Devi,Katra,2010,10,1,2,0,1,Cloudy,5608
Vaishno Devi,Katra,2010,10,1,3,0,1,Clear,24672
Vaishno Devi,Katra,2010,10,1,4,0,1,Cloudy,16531
Vaishno Devi,Katra,2010,10,1,5,0,1,Fog,19096
Vaishno Devi,Katra,2010,10,1,6,0,1,Clear,40409
Vaishno Devi,Katra,2010,10,1,7,0,1,Cold,20130
Vaishno Devi,Katra,2010,10,1,8,0,1,Cloudy,27659
Vaishno Devi,Katra,2010,10,1,9,0,1,Cold,28510
Vaishno Devi,Katra,2010,10,1,10,0,1,Cold,28826
Vaishno Devi,Katra,2010,10,1,11,0,1,Rain,25768
Vaishno Devi,Katra,2010,10,1,12,0,1,Clear,16199
Vaishno Devi,Katra,2010,10,1,13,0,1,Cold,41070
Vaishno Devi,Katra,2010,10,1,14,0,1,Fog,17634
Vaishno Devi,Katra,2010,10,1,15,0,1,Cloudy,25734
Vaishno Devi,Katra,2010,10,1,16,0,1,Fog,35313
Vaishno Devi,Katra,2010,10,1,17,0,1,Rain,43037
Vaishno Devi,Katra,2010,10,1,18,0,1,Rain,129775
Vaishno Devi,Katra,2010,10,1,19,0,1,Clear,61151
Vaishno Devi,Katra,2010,10,1,20,0,1,Rain,90142
Vaishno Devi,Katra,2010,10,1,21,0,1,Clear,103215
Vaishno Devi,Katra,2010,10,1,22,0,1,Rain,65245
Vaishno Devi,Katra,2010,10,1,23,0,1,Fog,93013
Vaishno Devi,Katra,2010,10,2,0,1,1,Cloudy,6991
Vaishno Devi,Katra,2010,10,2,1,1,1,Cloudy,8283
Vaishno Devi,Katra,2010,10,2,2,1,1,Cold,6972
Vaishno Devi,Katra,2010,10,2,3,1,1,Clear,6929
Vaishno Devi,Katra,2010,10,2,4,1,1,Cloudy,1647
Vaishno Devi,Katra,2010,10,2,5,1,1,Rain,7926
Vaishno Devi,Katra,2010,10,2,6,1,1,Cloudy,8371
Vaishno Devi,Katra,2010,10,2,7,1,1,Cold,9612
Vaishno Devi,Katra,2010,10,2,8,1,1,Cloudy,8527
Vaishno Devi,Katra,2010,10,2,9,1,1,Fog,12394
Vaishno Devi,Katra,2010,10,2,10,1,1,Fog,11594
Vaishno Devi,Katra,2010,10,2,11,1,1,Rain,5292
Vaishno Devi,Katra,2010,10,2,12,1,1,Cloudy,13568
Vaishno Devi,Katra,2010,10,2,13,1,1,Cold,8646
Vaishno Devi,Katra,2010,10,2,14,1,1,Clear,8450
Vaishno Devi,Katra,2010,10,2,15,1,1,Clear,13654
Vaishno Devi,Katra,2010,10,2,16,1,1,Fog,13662
Vaishno Devi,Katra,2010,10,2,17,1,1,Cold,5627
Vaishno Devi,Katra,2010,10,2,18,1,1,Cloudy,36745
Vaishno Devi,Katra,2010,10,2,19,1,1,Cloudy,26304
Vaishno Devi,Katra,2010,10,2,20,1,1,Clear,38887
Vaishno Devi,Katra,2010,10,2,21,1,1,Cloudy,40345
Vaishno Devi,Katra,2010,10,2,22,1,1,Clear,49813
Vaishno Devi,Katra,2010,10,2,23,1,1,Cloudy,30155
Vaishno Devi,Katra,2010,10,3,0,1,1,Clear,2614
Vaishno Devi,Katra,2010,10,3,1,1,1,Clear,3265
Vaishno Devi,Katra,2010,10,3,2,1,1,Fog,2411
Vaishno Devi,Katra,2010,10,3,3,1,1,Fog,4328
Vaishno Devi,Katra,2010,10,3,4,1,1,Cloudy,8303
Vaishno Devi,Katra,2010,10,3,5,1,1,Clear,10596
Vaishno Devi,Katra,2010,10,3,6,1,1,Cloudy,11893
Vaishno Devi,Katra,2010,10,3,7,1,1,Fog,8576
Vaishno Devi,Katra,2010,10,3,8,1,1,Rain,14392
Vaishno Devi,Katra,2010,10,3,9,1,1,Rain,9672
Vaishno Devi,Katra,2010,10,3,10,1,1,Clear,10349
Vaishno Devi,Katra,2010,10,3,11,1,1,Clear,10838
Vaishno Devi,Katra,2010,10,3,12,1,1,Cloudy,13113
Vaishno Devi,Katra,2010,10,3,13,1,1,Clear,7734
Vaishno Devi,Katra,2010,10,3,14,1,1,Fog,10737
Vaishno Devi,Katra,2010,10,3,15,1,1,Cold,8755
Vaishno Devi,Katra,2010,10,3,16,1,1,Cold,10246
Vaishno Devi,Katra,2010,10,3,17,1,1,Clear,12359
Vaishno Devi,Katra,2010,10,3,18,1,1,Fog,23189
Vaishno Devi,Katra,2010,10,3,19,1,1,Fog,15730
Vaishno Devi,Katra,2010,10,3,20,1,1,Clear,38540
Vaishno Devi,Katra,2010,10,3,21,1,1,Clear,37729
Vaishno Devi,Katra,2010,10,3,22,1,1,Fog,25620
Vaishno Devi,Katra,2010,10,3,23,1,1,Rain,22380
Vaishno Devi,Katra,2010,10,4,0,0,1,Clear,4133
Vaishno Devi,Katra,2010,10,4,1,0,1,Cold,2975
Vaishno Devi,Katra,2010,10,4,2,0,1,Cloudy,2160
Vaishno Devi,Katra,2010,10,4,3,0,1,Clear,5628
Vaishno Devi,Katra,2010,10,4,4,0,1,Clear,2639
Vaishno Devi,Katra,2010,10,4,5,0,1,Fog,5944
Vaishno Devi,Katra,2010,10,4,6,0,1,Fog,11364
Vaishno Devi,Katra,2010,10,4,7,0,1,Rain,5562
Vaishno Devi,Katra,2010,10,4,8,0,1,Fog,14646
Vaishno Devi,Katra,2010,10,4,9,0,1,Cloudy,12734
Vaishno Devi,Katra,2010,10,4,10,0,1,Cloudy,7522
Vaishno Devi,Katra,2010,10,4,11,0,1,Clear,14133
Vaishno Devi,Katra,2010,10,4,12,0,1,Cloudy,8684
Vaishno Devi,Katra,2010,10,4,13,0,1,Rain,8442
Vaishno Devi,Katra,2010,10,4,14,0,1,Cold,12648
Vaishno Devi,Katra,2010,10,4,15,0,1,Cloudy,7861
Vaishno Devi,Katra,2010,10,4,16,0,1,Cloudy,14837
Vaishno Devi,Katra,2010,10,4,17,0,1,Cold,12671
Vaishno Devi,Katra,2010,10,4,18,0,1,Cold,24383
Vaishno Devi,Katra,2010,10,4,19,0,1,Cloudy,43851
Vaishno Devi,Katra,2010,10,4,20,0,1,Cloudy,31759
Vaishno Devi,Katra,2010,10,4,21,0,1,Rain,43161
Vaishno Devi,Katra,2010,10,4,22,0,1,Cloudy,45006
Vaishno Devi,Katra,2010,10,4,23,0,1,Cloudy,32761
Vaishno Devi,Katra,2010,10,5,0,0,1,Clear,2448
Vaishno Devi,Katra,2010,10,5,1,0,1,Cold,6637
Vaishno Devi,Katra,2010,10,5,2,0,1,Cloudy,8330
Vaishno Devi,Katra,2010,10,5,3,0,1,Clear,2175
Vaishno Devi,Katra,2010,10,5,4,0,1,Clear,5736
Vaishno Devi,Katra,2010,10,5,5,0,1,Cold,5564
Vaishno Devi,Katra,2010,10,5,6,0,1,Clear,12479
Vaishno Devi,Katra,2010,10,5,7,0,1,Rain,5472
Vaishno Devi,Katra,2010,10,5,8,0,1,Rain,11409
Vaishno Devi,Katra,2010,10,5,9,0,1,Cloudy,10652
Vaishno Devi,Katra,2010,10,5,10,0,1,Fog,7620
Vaishno Devi,Katra,2010,10,5,11,0,1,Cloudy,10061
Vaishno Devi,Katra,2010,10,5,12,0,1,Rain,11610
Vaishno Devi,Katra,2010,10,5,13,0,1,Clear,10706
Vaishno Devi,Katra,2010,10,5,14,0,1,Cloudy,14814
Vaishno Devi,Katra,2010,10,5,15,0,1,Fog,11062
Vaishno Devi,Katra,2010,10,5,16,0,1,Clear,12240
Vaishno Devi,Katra,2010,10,5,17,0,1,Rain,14908
Vaishno Devi,Katra,2010,10,5,18,0,1,Fog,21691
Vaishno Devi,Katra,2010,10,5,19,0,1,Clear,45601
Vaishno Devi,Katra,2010,10,5,20,0,1,Fog,20129
Vaishno Devi,Katra,2010,10,5,21,0,1,Cloudy,26384
Vaishno Devi,Katra,2010,10,5,22,0,1,Rain,38654
Vaishno Devi,Katra,2010,10,5,23,0,1,Cloudy,33493
Vaishno Devi,Katra,2010,10,6,0,0,1,Rain,2597
Vaishno Devi,Katra,2010,10,6,1,0,1,Rain,3101
Vaishno Devi,Katra,2010,10,6,2,0,1,Cloudy,5644
Vaishno Devi,Katra,2010,10,6,3,0,1,Clear,8445
Vaishno Devi,Katra,2010,10,6,4,0,1,Fog,3081
Vaishno Devi,Katra,2010,10,6,5,0,1,Rain,6709
Vaishno Devi,Katra,2010,10,6,6,0,1,Fog,10777
Vaishno Devi,Katra,2010,10,6,7,0,1,Clear,11118
Vaishno Devi,Katra,2010,10,6,8,0,1,Fog,7507
Vaishno Devi,Katra,2010,10,6,9,0,1,Cloudy,10652
Vaishno Devi,Katra,2010,10,6,10,0,1,Clear,6729
Vaishno Devi,Katra,2010,10,6,11,0,1,Rain,12152
Vaishno Devi,Katra,2010,10,6,12,0,1,Rain,5264
